x,y
-0.07512837,-0.51276717
-0.00625798,-0.62781641
-0.64425406,-0.41429058
0.06857286,0.14286198
0.29032697,0.40372556
-0.35965213,-0.47467140
-0.69222002,0.19848874
-0.50665406,0.21031876
0.01639927,-0.49705620
-0.21286848,0.25019627
-0.34860807,-0.24401932
0.33441080,0.06806044
-0.20145999,0.08941225
-0.11244847,0.35625197
-0.00041990,-0.49424016
-0.43205966,-0.07547932
-0.86222908,-0.09346526
0.04430571,0.19330870
-0.55529411,-0.15205161
-0.13584901,-0.69655186
0.13353887,-0.48491013
-0.23441481,-0.52225319
-0.18336037,-0.49754912
0.19466264,0.20905536
0.29073777,0.18272762
-0.18526981,-0.35106023
-0.18330711,-0.50427378
-0.09929882,0.18884030
0.29796704,0.26050294
-0.99541072,0.00297440
0.03360565,0.04758362
-0.22395920,0.50073535
-0.88031626,-0.07807980
-0.29197057,-0.61824453
-0.78851070,0.03844711
-0.15384449,-0.05571547
0.08970989,-0.33569172
-0.01076629,-0.20716664
0.14226506,0.01854932
0.33975776,-0.21051861
-0.58509889,-0.05817724
0.05727679,0.42026035
-0.19721659,0.34267966
0.22131398,0.10288504
-0.01934680,0.24340386
-0.52604039,-0.29560082
0.29598846,-0.08025135
-0.27366497,-0.09536491
-0.81661503,-0.09621336
-0.23491860,-0.24862425
-0.31981292,-0.31729371
-0.08688185,-0.08410729
-0.17250513,0.16764206
-0.19034148,-0.11759998
0.15386425,-0.19696065
-0.02314896,-0.34478239
-0.17686166,-0.21737263
-0.17895934,-0.32044744
-0.68997799,0.09464967
0.14594509,-0.23554067
-0.07683242,-0.35227157
-1.16274136,-0.00423068
-0.38207857,-0.09367566
-0.55378002,-0.25180326
-0.02119845,-0.03623098
-0.81503462,0.02111732
-0.05779454,-0.68342389
0.06452300,-0.50645019
-0.18840760,-0.05856108
-0.16369161,0.01612900
-0.15169808,0.05963485
0.27762903,0.42901388
0.35137187,0.17466046
-0.44947107,0.53358878
-0.03939544,-0.35692742
-0.68088447,0.26868995
0.20746614,-0.11425080
-0.47289778,-0.42354580
-0.59065167,-0.16284260
0.17131341,-0.42888252
-0.29774623,0.34930590
-0.10510074,-0.31827122
-0.82757516,0.08152000
0.31915685,-0.33149517
0.12153487,-0.35727689
0.09035749,-0.37349444
-0.56312294,-0.12521747
-0.17593577,0.41244531
-0.30341935,0.60947724
-0.38374452,-0.42638397
-0.36399014,-0.53520489
-0.44131034,-0.03636824
-0.10773215,-0.53711593
-0.01854923,-0.11808036
-1.07883475,0.05906120
0.33262931,-0.33200193
-0.13508501,0.03679266
-0.15229216,0.02794891
-1.22047993,0.06338161
-0.27520688,0.19929577
-0.00383012,-0.13693469
-0.50521272,0.19851973
-0.40825472,0.47103424
-1.27377447,-0.03916897
-0.42204920,-0.53307622
-0.46538424,0.28935058
0.08596261,-0.15109687
-1.13851128,0.17510430
0.28778833,-0.36649063
-0.51012935,-0.35490519
-1.13857118,-0.00423076
-0.13722058,0.61756219
-0.60420714,-0.08711374
-0.04844403,-0.69127287
0.02850217,-0.49581963
-0.54661017,-0.23459864
-0.49552818,-0.04451502
-1.00872033,-0.19618830
0.21249046,0.51110890
-0.09604533,0.33839893
0.19248227,-0.42045149
0.23541024,-0.27575633
-0.30561138,-0.26972974
0.16018491,0.03484049
-0.27752233,0.12694605
-0.45600091,0.40217546
-0.09101455,0.72074346
-0.15915460,-0.19755570
-0.54091333,0.33446825
-1.13367093,-0.10912014
-0.17707045,0.47097656
0.00977661,0.45267716
-0.95588914,-0.16034850
-1.10868633,-0.04249324
0.22375380,-0.39556292
-0.02897182,-0.54134068
0.00416293,0.19513221
0.20086496,-0.18653718
-0.58085520,-0.44742711
-0.05963341,-0.04057548
-0.96276701,-0.17072928
-1.07876938,0.04154735
-0.15946148,-0.42141892
-0.61058108,0.31900308
-0.62781098,-0.29798786
-0.35135711,-0.47566075
-0.40254969,-0.44487353
-0.44346062,0.41365172
-0.41121674,-0.17411601
-0.85352806,0.13789344
-0.09850888,0.63733855
0.11365700,0.24836041
-0.37696656,0.40411652
0.02200558,-0.46041324
-0.68726075,-0.11071843
-0.97798727,-0.05537843
-0.62295782,0.06097050
-0.04980869,0.76731251
-0.19269096,0.14580790
-0.02061723,0.25069948
-0.06449182,-0.02408623
-0.20083406,0.02832965
-0.45352498,0.09169957
-0.02209782,0.73673267
-0.14168401,-0.62126787
-1.01282089,-0.15542151
0.10431793,0.03890118
0.08638120,0.18482753
-0.21927662,-0.37776238
-0.41067692,0.22002427
-0.14521734,-0.70964009
-0.92841412,0.14888514
-0.43577966,0.29639738
-0.46072718,0.35188305
-0.40631487,0.51107583
0.16236516,-0.31565654
-0.71508025,0.00755272
-0.01374194,0.22860392
0.36921901,-0.32346478
-0.48840240,0.48342454
-0.44766006,0.38610077
-0.48794949,0.46169048
-0.15790683,0.75733267
-0.58258421,-0.01796381
-0.19071611,-0.55854839
0.18735184,0.30645540
-0.43345534,-0.50930393
-0.68783060,-0.13515994
-0.02329375,-0.23545296
0.38811902,-0.32968592
-0.31842774,0.24680686
-0.76567732,0.07913364
-0.54366092,-0.46488614
-0.15499529,-0.73030570
-1.27901871,-0.01920802
0.30856370,0.06703168
-0.58817673,-0.12669657
0.29689540,-0.14268747
-1.16781156,-0.00920630
0.14186472,0.37032438
-0.29093224,-0.17226220
-0.03244097,-0.41865001
0.07071974,0.38608443
0.35169307,-0.10573076
-0.27436171,-0.41935889
-0.52665927,0.26933630
-0.17558248,-0.08403199
-0.05424196,-0.22514844
-0.12265148,0.84358418
-0.12205331,0.13660568
-0.25172162,0.52671301
-0.25257129,0.63605317
-0.48892843,0.01719303
-0.39691561,0.23619906
0.26331290,0.54869062
-0.29917211,0.53874137
0.01307767,0.61815875
-0.43615306,-0.27170826
-1.20389827,-0.13775970
-0.84155731,-0.11572105
0.21334943,-0.17198978
-0.16562357,-0.54623107
0.07841026,-0.37534107
-0.20032203,0.36836617
0.12592797,0.61230841
0.10634076,-0.04771937
-0.03217667,-0.15945304
0.31367937,-0.18060854
-0.40967275,0.37658569
-0.76032416,-0.04748980
-0.26767116,-0.16436168
-0.82417713,0.17540402
-0.17786083,-0.34676082
-0.01894000,-0.36049985
-0.29819389,0.62678994
0.13194704,-0.33495455
-0.61101751,0.20204221
0.01558789,-0.44273588
-0.34979648,0.03321271
-0.49243415,-0.44615032
-0.30968080,-0.04844906
-0.11041801,-0.20049708
-0.62328874,-0.10353344
0.30305946,-0.43181727
-0.25533651,0.58469045
-1.12781809,-0.09380422
-0.14026486,0.09452091
-0.16931074,-0.35413190
-0.38483192,-0.05512869
-0.05595698,0.62038575
-0.64687648,0.06681677
-0.23093361,0.23504848
0.03005119,-0.50062907
-1.15118072,0.23789862
-0.18040564,-0.58483157
-0.65680158,0.31218127
0.17842186,0.53820303
0.01138006,0.52506229
-0.20951564,0.59594763
-0.62136006,0.14102896
-0.14971924,0.32704680
-0.68120703,-0.30083438
-0.38004338,-0.26150092
-0.21607264,0.58666188
-0.19510267,-0.22343343
-0.62619116,0.08374697
-0.53220017,0.31513559
0.22605874,0.08782662
-0.63824722,0.04096959
0.01156221,-0.18491145
-0.22444051,-0.61542831
0.02205931,-0.40127984
-0.20573367,0.62961252
-0.21041396,-0.16894215
-0.09625765,0.76260671
-0.62604475,0.41406646
-0.16487383,-0.16619344
-0.71380174,-0.11560370
-0.09936822,-0.23856999
-0.50428578,-0.36819980
-0.58771791,0.03160536
-0.16913004,-0.77423259
-0.03221846,-0.33975035
-1.30216427,-0.00062192
-0.18261092,0.53265300
-0.42504413,0.11400922
-0.48899120,0.11862470
-0.40494124,0.00145529
-1.12612028,0.13702493
0.02846031,-0.45593128
0.01710000,0.51029637
0.09356010,0.02942535
-0.22560109,-0.53603499
-0.05653271,-0.15326811
-0.05748076,-0.30597730
0.37248799,-0.24381476
-0.34402568,0.05789410
0.24333885,0.53774587
0.11861081,-0.16591549
0.02807895,0.33762164
0.30376496,0.08278960
-0.05537784,-0.28847274
-0.24579868,0.62209953
-0.48649099,-0.37599571
-0.47871399,-0.39464321
-0.39224378,-0.11998019
-0.29911529,0.50774992
-0.65052345,0.34088171
-1.34420888,-0.03109298
-1.15287380,0.07729450
-0.00010372,-0.50135179
-0.32648761,0.22212830
-0.63883958,-0.35246833
-0.05022108,-0.04020380
-1.21837866,-0.11740005
0.00488281,-0.33486747
-0.39434122,0.00698658
-0.02783026,-0.48568971
-0.55973157,0.39409079
0.07985489,-0.01936724
0.19819813,0.00153080
-0.19868761,-0.10679908
-0.11285613,-0.06380397
-0.23751981,0.49182687
-0.00416505,-0.33391497
-0.29445507,-0.36064740
-0.36037815,-0.01343048
-0.10793087,-0.62611744
-0.14851276,-0.33186601
-0.88184223,-0.13025764
-0.13054092,0.69710556
0.23453703,0.06021926
0.21521962,-0.14616360
-0.05194679,0.42482559
-0.36040265,-0.01992641
-0.08971107,0.38152852
-0.52771928,0.41776511
-1.21495043,-0.01558281
0.40012961,0.32817562
-1.05065697,-0.22952890
-0.32724568,-0.61194552
-0.12461165,-0.72951495
-0.24133914,0.08922243
-0.82539619,0.09954576
0.09050010,-0.25659266
-0.04202710,-0.16404353
-0.23977041,0.53221171
-0.48226374,-0.24436582
0.04178894,-0.40385461
-0.57256047,-0.08373336
-0.41070563,-0.31768416
-0.90711021,-0.08734641
-0.48598681,0.25850031
-1.19906290,-0.09872794
0.03858701,-0.55174218
0.20162998,-0.42187115
-0.27429736,0.51976400
-0.18815373,0.11218817
-0.15845923,-0.09374451
-0.49937536,0.32753996
-0.00329712,-0.34588584
-0.48978405,0.20754744
0.08369464,0.22701443
-0.25612952,-0.07559917
-0.42064427,0.21923627
0.38705348,0.21608851
-1.06868333,-0.19150906
0.35588062,0.12032013
-0.48986363,-0.38018520
-0.01344593,-0.01286262
0.25855126,-0.26476966
-0.42038279,0.20827239
0.24829547,0.05524311
-0.29159715,0.01041320
-0.02707786,-0.56355122
-0.85521160,-0.02511164
-0.05498130,-0.55321269
-0.58412113,-0.02540984
0.05543707,-0.26130369
-0.40710174,0.55838692
-0.35202278,-0.05764065
0.07569637,0.01845269
-0.61930870,-0.18592121
-0.30122868,0.01961426
0.02518874,-0.57716968
-1.03812428,0.00306307
0.31876908,0.12532251
-0.18181953,0.69420501
-0.11928790,0.67906023
-0.84084936,0.09459617
-0.32561257,0.51204754
0.24543107,0.19736139
-0.32739387,0.55017067
-0.18090544,0.04141405
0.26606360,0.32773601
-0.48039640,-0.25026747
-1.07908509,0.17653254
-0.58814775,0.04925844
-0.14623107,0.06784700
-0.98538700,0.24823456
-0.66690752,-0.33016966
0.22490794,-0.22429386
-1.14356727,0.12449149
0.25804559,0.27227973
-0.42351005,-0.18810676
-0.36078845,-0.27603866
-0.40235261,-0.21430569
0.09266480,0.01667762
-0.08389596,-0.57062910
0.15448370,0.57383724
-0.16384066,-0.13559323
