impl,threads,scenario,run,time,member,insert,delete
pthread,1,read_heavy,1,5.282728e-01,90035,4984,4981
pthread,1,read_heavy,2,5.220655e-01,90035,4984,4981
pthread,1,read_heavy,3,5.216657e-01,90035,4984,4981
pthread,1,read_heavy,4,5.223758e-01,90035,4984,4981
pthread,1,read_heavy,5,5.220972e-01,90035,4984,4981
pthread,1,balanced,1,4.907637e+00,50006,25021,24973
pthread,1,balanced,2,4.842565e+00,50006,25021,24973
pthread,1,balanced,3,5.072289e+00,50006,25021,24973
pthread,1,balanced,4,4.955452e+00,50006,25021,24973
pthread,1,balanced,5,4.880740e+00,50006,25021,24973
pthread,1,write_heavy,1,1.063377e+01,20115,39843,40042
pthread,1,write_heavy,2,1.047495e+01,20115,39843,40042
pthread,1,write_heavy,3,1.060477e+01,20115,39843,40042
pthread,1,write_heavy,4,1.052071e+01,20115,39843,40042
pthread,1,write_heavy,5,1.058213e+01,20115,39843,40042
pthread,2,read_heavy,1,5.537510e-01,89953,5011,5036
pthread,2,read_heavy,2,5.491220e-01,89953,5011,5036
pthread,2,read_heavy,3,5.540704e-01,89953,5011,5036
pthread,2,read_heavy,4,5.566249e-01,89953,5011,5036
pthread,2,read_heavy,5,5.705443e-01,89953,5011,5036
pthread,2,balanced,1,6.321189e+00,50118,25125,24757
pthread,2,balanced,2,6.090302e+00,50118,25125,24757
pthread,2,balanced,3,6.392463e+00,50118,25125,24757
pthread,2,balanced,4,6.355356e+00,50118,25125,24757
pthread,2,balanced,5,6.392447e+00,50118,25125,24757
pthread,2,write_heavy,1,1.184940e+01,19971,40056,39973
pthread,2,write_heavy,2,1.199361e+01,19971,40056,39973
pthread,2,write_heavy,3,1.179544e+01,19971,40056,39973
pthread,2,write_heavy,4,1.199566e+01,19971,40056,39973
pthread,2,write_heavy,5,1.187949e+01,19971,40056,39973
pthread,4,read_heavy,1,6.180485e-01,89968,5009,5023
pthread,4,read_heavy,2,6.362685e-01,89968,5009,5023
pthread,4,read_heavy,3,6.274902e-01,89968,5009,5023
pthread,4,read_heavy,4,6.206041e-01,89968,5009,5023
pthread,4,read_heavy,5,6.199112e-01,89968,5009,5023
pthread,4,balanced,1,6.385970e+00,49994,25003,25003
pthread,4,balanced,2,6.261348e+00,49994,25003,25003
pthread,4,balanced,3,6.467075e+00,49994,25003,25003
pthread,4,balanced,4,6.483235e+00,49994,25003,25003
pthread,4,balanced,5,6.441886e+00,49994,25003,25003
pthread,4,write_heavy,1,1.195116e+01,19922,40101,39977
pthread,4,write_heavy,2,1.192644e+01,19922,40101,39977
pthread,4,write_heavy,3,1.177426e+01,19922,40101,39977
pthread,4,write_heavy,4,1.181495e+01,19922,40101,39977
pthread,4,write_heavy,5,1.183161e+01,19922,40101,39977
pthread,8,read_heavy,1,6.718459e-01,89840,5090,5070
pthread,8,read_heavy,2,6.755584e-01,89840,5090,5070
pthread,8,read_heavy,3,6.514525e-01,89840,5090,5070
pthread,8,read_heavy,4,6.626285e-01,89840,5090,5070
pthread,8,read_heavy,5,6.706989e-01,89840,5090,5070
pthread,8,balanced,1,6.507379e+00,50164,24729,25107
pthread,8,balanced,2,6.321106e+00,50164,24729,25107
pthread,8,balanced,3,6.453976e+00,50164,24729,25107
pthread,8,balanced,4,6.339111e+00,50164,24729,25107
pthread,8,balanced,5,6.412857e+00,50164,24729,25107
pthread,8,write_heavy,1,1.206071e+01,20045,40028,39927
pthread,8,write_heavy,2,1.211038e+01,20045,40028,39927
pthread,8,write_heavy,3,1.220965e+01,20045,40028,39927
pthread,8,write_heavy,4,1.218680e+01,20045,40028,39927
pthread,8,write_heavy,5,1.250848e+01,20045,40028,39927
pthread,16,read_heavy,1,6.920197e-01,89817,5138,5045
pthread,16,read_heavy,2,6.904959e-01,89817,5138,5045
pthread,16,read_heavy,3,7.108651e-01,89817,5138,5045
pthread,16,read_heavy,4,6.918286e-01,89817,5138,5045
pthread,16,read_heavy,5,6.870578e-01,89817,5138,5045
pthread,16,balanced,1,8.525825e+00,49660,24939,25401
pthread,16,balanced,2,8.564626e+00,49660,24939,25401
pthread,16,balanced,3,8.618327e+00,49660,24939,25401
pthread,16,balanced,4,8.569382e+00,49660,24939,25401
pthread,16,balanced,5,8.479440e+00,49660,24939,25401
pthread,16,write_heavy,1,1.585421e+01,19875,39793,40332
pthread,16,write_heavy,2,1.596463e+01,19875,39793,40332
pthread,16,write_heavy,3,1.610476e+01,19875,39793,40332
pthread,16,write_heavy,4,1.606897e+01,19875,39793,40332
pthread,16,write_heavy,5,1.609328e+01,19875,39793,40332
my,1,read_heavy,1,5.239433e-01,90035,4984,4981
my,1,read_heavy,2,5.324296e-01,90035,4984,4981
my,1,read_heavy,3,5.244130e-01,90035,4984,4981
my,1,read_heavy,4,5.239967e-01,90035,4984,4981
my,1,read_heavy,5,5.306386e-01,90035,4984,4981
my,1,balanced,1,4.877773e+00,50006,25021,24973
my,1,balanced,2,4.803665e+00,50006,25021,24973
my,1,balanced,3,4.999671e+00,50006,25021,24973
my,1,balanced,4,4.948425e+00,50006,25021,24973
my,1,balanced,5,4.979234e+00,50006,25021,24973
my,1,write_heavy,1,1.043492e+01,20115,39843,40042
my,1,write_heavy,2,1.034397e+01,20115,39843,40042
my,1,write_heavy,3,1.033944e+01,20115,39843,40042
my,1,write_heavy,4,1.039186e+01,20115,39843,40042
my,1,write_heavy,5,1.031607e+01,20115,39843,40042
my,2,read_heavy,1,5.262686e-01,89953,5011,5036
my,2,read_heavy,2,4.937899e-01,89953,5011,5036
my,2,read_heavy,3,4.967023e-01,89953,5011,5036
my,2,read_heavy,4,5.014601e-01,89953,5011,5036
my,2,read_heavy,5,4.883373e-01,89953,5011,5036
my,2,balanced,1,5.284352e+00,50118,25125,24757
my,2,balanced,2,5.260973e+00,50118,25125,24757
my,2,balanced,3,5.069393e+00,50118,25125,24757
my,2,balanced,4,5.279662e+00,50118,25125,24757
my,2,balanced,5,5.243265e+00,50118,25125,24757
my,2,write_heavy,1,1.100230e+01,19971,40056,39973
my,2,write_heavy,2,1.081378e+01,19971,40056,39973
my,2,write_heavy,3,1.099945e+01,19971,40056,39973
my,2,write_heavy,4,1.101431e+01,19971,40056,39973
my,2,write_heavy,5,1.089891e+01,19971,40056,39973
my,4,read_heavy,1,4.598471e-01,89968,5009,5023
my,4,read_heavy,2,4.587379e-01,89968,5009,5023
my,4,read_heavy,3,4.586225e-01,89968,5009,5023
my,4,read_heavy,4,4.585023e-01,89968,5009,5023
my,4,read_heavy,5,4.656778e-01,89968,5009,5023
my,4,balanced,1,4.868865e+00,49994,25003,25003
my,4,balanced,2,4.814000e+00,49994,25003,25003
my,4,balanced,3,4.827242e+00,49994,25003,25003
my,4,balanced,4,4.861616e+00,49994,25003,25003
my,4,balanced,5,4.894841e+00,49994,25003,25003
my,4,write_heavy,1,1.065200e+01,19922,40101,39977
my,4,write_heavy,2,1.070864e+01,19922,40101,39977
my,4,write_heavy,3,1.064183e+01,19922,40101,39977
my,4,write_heavy,4,1.056384e+01,19922,40101,39977
my,4,write_heavy,5,1.066902e+01,19922,40101,39977
my,8,read_heavy,1,6.434756e-01,89840,5090,5070
my,8,read_heavy,2,6.326179e-01,89840,5090,5070
my,8,read_heavy,3,6.310322e-01,89840,5090,5070
my,8,read_heavy,4,6.323044e-01,89840,5090,5070
my,8,read_heavy,5,6.220176e-01,89840,5090,5070
my,8,balanced,1,5.520058e+00,50164,24729,25107
my,8,balanced,2,5.465278e+00,50164,24729,25107
my,8,balanced,3,5.432980e+00,50164,24729,25107
my,8,balanced,4,5.727095e+00,50164,24729,25107
my,8,balanced,5,5.435985e+00,50164,24729,25107
my,8,write_heavy,1,1.138710e+01,20045,40028,39927
my,8,write_heavy,2,1.143887e+01,20045,40028,39927
my,8,write_heavy,3,1.139679e+01,20045,40028,39927
my,8,write_heavy,4,1.144725e+01,20045,40028,39927
my,8,write_heavy,5,1.147084e+01,20045,40028,39927
my,16,read_heavy,1,8.508969e-01,89817,5138,5045
my,16,read_heavy,2,8.707447e-01,89817,5138,5045
my,16,read_heavy,3,8.524493e-01,89817,5138,5045
my,16,read_heavy,4,8.659710e-01,89817,5138,5045
my,16,read_heavy,5,8.567692e-01,89817,5138,5045
my,16,balanced,1,7.651503e+00,49660,24939,25401
my,16,balanced,2,7.582699e+00,49660,24939,25401
my,16,balanced,3,7.606981e+00,49660,24939,25401
my,16,balanced,4,7.591570e+00,49660,24939,25401
my,16,balanced,5,7.725891e+00,49660,24939,25401
my,16,write_heavy,1,1.528479e+01,19875,39793,40332
my,16,write_heavy,2,1.551778e+01,19875,39793,40332
my,16,write_heavy,3,1.548835e+01,19875,39793,40332
my,16,write_heavy,4,1.555234e+01,19875,39793,40332
my,16,write_heavy,5,1.549921e+01,19875,39793,40332
